venue,city,latitude,longitude,content_type,is_outdoor
Kościół Świętej Trójcy (Holy Trinity Church),Gdańsk,54.3458,18.6471,orchestra,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir,False
"Hol przed Aulą Politechniki Gdańskiej (Hall in front of Main Aula, Gdańsk University of Technology)",Gdańsk,54.3717,18.6193,choir_with_orchestra,False
Baltic Sea Pier,Sopot,54.4486,18.5782,ambient,True
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir_with_soloists,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
"Hol przed Aulą Politechniki Gdańskiej (Hall in front of Main Aula, Gdańsk University of Technology)",Gdańsk,54.3717,18.6193,choir_with_ensemble,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Polska Filharmonia Bałtycka (Polish Baltic Philharmonic),Gdańsk,54.3523,18.6597,choir,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,ensemble,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,piano_duet,False
Fiqu Miqu Studio,Gdynia,54.5244,18.5427,ensemble,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Kamieniołom Piechcin (Piechcin Quarry),Piechcin,52.8153,18.0163,vr_film_production,True
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano,False
Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku - Sala Koncertowa (aMuz Main Concert Hall),Gdańsk,54.345,18.6627,solo_piano,False
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,chamber,False
Agrotourism barn - styrofoam cave film set,Jędrzejewo,52.9168,16.3744,vr_film_production,False
Archikatedra Oliwska (Oliwa Cathedral),Gdańsk,54.411,18.5585,choir,False
